Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        
"Minneapolis, MN",http://www.hennepin.us/geocode,44.9804761,-93.2710771,Government Hosted Code-a-thon and Service Design Jam,~100,"Hennepin County, Open Twin Cities"
"Minsk, Belarus",http://day15.opendata.by/,53.9,27.566667,"Presentations, talks",~30,"Community ""Open Data Belarus"" (opendata.by)"
"Mississauga, Ontario, Canada",http://www.codeandthecity.ca,43.59108,-79.64699,"Idea Jam, Open Workshops, Marketplace",~75,"City of Mississauga, Sheridan College, I-CUBE UTM"
"Mito, Japan",http://codeforibaraki.org/,36.401221,140.44271,"Workshop, Datathon and Ideathon",~30,Code for Ibaraki
"Modena, Italy",,,,,,
"Mombasa, Kenya",http://www.opendataday.co.ke,-4.0546600,39.6635900,"Keynote,Hackathon, Lightning talks,Roundtables",,Open Institute
"Monastir, Tunisia",http://CLibre.tn,35.773195,10.833833,"Presentation, Talk, Workshop",~100,Association pour la Culture numérique Libre - CLibre & Municipalité de Monastir
"Montréal, Québec, Canada","http://wiki.opendataday.org/MONTREAL2015
",45.504629,-73.55686,Open discussion and hackathon,100,"OKFNca, MTL_Data, Hackons la corruption, FACiL, NordOuvert et autres"
"Moscow, Russia",https://infoculture.timepad.ru/event/181175/,55.75568,37.638719,"Meetup, Hackathon",~30-50,"<a href=""http://infoculture.ru"">Infoculture</a> and <a href=""http://ru.okfn.org"">OKF Russia</a>"
"München, Germany",http://www.meetup.com/OK-Lab-Munchen/events/219873019/,48.143555,11.557868,Hackathon,,Code for München und die Stadt München
"Münster, Germany",http://codeformuenster.org/,51.966667,7.633333,"Presentation, Workshop, Hacking",,OK Lab Münster
"Nagano, Japan",http://geeklab-nagano.com,36.649238,138.182391,"Ideathon,hackathon",,Geeklab.Nagano
"Nagareyama, Japan",https://www.facebook.com/events/904059792971920/,35.871309,139.926387,Wikipedia Town,,Code for NAGAREYAMA
"Nagatacho, Japan",http://lab.kn.ndl.go.jp/cms/?q=opendata2015,35.678396,139.744218,Ideathon,32,National Diet Library
"Nagoya, Japan",http://opendata-nagoya2015.peatix.com/,35.15488,136.96693,Hackathon using open data of public transit,~100,"OpenData Tokai/Code for Tokai, Code for Nagoya, NPO Lisra"
"Nairobi, Kenya",http://www.opendataday.co.ke,-1.2833300,36.8166700,"Keynote,Hackathon, Lightning talks,Roundtables",,Open Institute
"Nantes, France",http://www.eventbrite.fr/e/billets-journee-internationale-de-lopen-data-15638182224,47.211936,-1.551064,Extract civic data and scrap to release new citizen open data platform,30,Libertic
"Nanto, Japan",http://heyevent.com/event/859231910777650/international-open-data-day-2015-in,36.512208,136.900443,"Seminar, Workshop",,Code for Nanto
"Nara, Japan",https://code4nara.doorkeeper.jp/events/20396,34.676041,135.831529,Workshop,30,Code for Nara
"New York City, NY",https://codeacrossnyc2015.eventbrite.com,40.47,-73.58,"workshops, unconfernce, hackathon, scrapeathon",150,BetaNYC
"Niagara, Ontario, Canada",https://www.eventbrite.ca/e/open-data-day-2015-niagara-edition-tickets-15829637873,43.156991,-79.245088,Open Data Day Data Hackathon,30,"Cowork Niagara, Software Niagara"
"Niigata, Japan",https://www.facebook.com/dgata2015,37.913535,139.05817,Conference,15,Da-Gata 2015 executive committee
"Nørrebro, Copenhagen, Denmark",http://wiki.opendataday.org/wiki/index.php?title=COPENHAGEN2015,55.68863,12.56184,"da:
Kortlægning af de danske “åben”-miljøer
Dataworkshop med crowdsourcet folketingskandidat-data som omdrejningspunkt.

en:
Mapping of the Danish ""open""-communities
Dataworkshop with a focus on crowdsourced general election candidate data",30,"Open Knowledge Denmark, Wikimedia Denmark and Nordic Open Data Ecosystem (OpenNordics.org)"
"Numadu, Japan",http://opendata.shizuoka.jp/,35.105744,138.862329,"Keynote, Hackathon(Disaster, Traffic, Sightseeing)",,"Shizuoka East IT Council, Council of Shizuoka Open Data"
"Oita, Japan",https://www.facebook.com/groups/codeforoita/,33.241007,131.598979,Mapping party,,Code for Oita
"Osaka, Japan",http://www.innovation-osaka.jp/ja/,34.705876,135.494467,Datathon and Hackathon,30,"Osaka Innovation Hub, ODI Osaka"
"Østerbro, Copenhagen, Denmark",http://wiki.opendataday.org/wiki/index.php?title=COPENHAGEN2015,55.69354,12.5659,"http://www.microformats.dk/2015/02/16/opvarmning-til-open-data-day-med-en-omgang-high-impack-datamotion/ We kick off the day with round of “high impact data excercise” 11:30am-2pm @ http://www.openstreetmap.org/?mlat=55.69354&mlon=12.56590#map=17/55.69354/12.56590 intersection of Tagensvej/Blegdamsvej]
",30,http://microformats.dk microformats.dk aka. @neogeografen
"Ottawa, Ontario",http://www.meetup.com/Open-Data-Ottawa/events/220351571/,45.4202788,-75.7018615,Hackfest + CODE competition,60+,Open Data Ottawa
"Ouagadougou, burkina Faso",portugalportugal,12.35413,-1.52169,"Talks, Roundtables, WorkShops",30+,Open Knowledge Burkina Faso
"Panama City, Panama",,8.974,-79.519,"Intro to open data, keynote, ideation, some dev, networking",~25,Open Knowledge Panama Community
"Panama City, Panama",www.datosabiertospa.github.io,8.974,-79.519,"Conferencia de Datos Abiertos, Networking,Hackaton, Licenciaton. ",50-100,"Instituto Panameño de Derecho y Nuevas Tecnologías (IPANDETEC), Mozila Panamá, Creative Commons Panamá, Floss-PA., Fedora Panamá, Fundación Fraternidad del Software Libre de Panamá."
"Papeete, Tahiti",https://www.facebook.com/events/936955629731617/,-17.54,-149.567,Hackathon,20,Math's Up Moorea
"Paris, France",https://www.eventbrite.fr/e/billets-open-data-day-2015-paris-15665893108,48.8528223,2.3527217,Open Environmental Data Workshop,no limits,"<a href=""http://plumelabs.com/"">Plume Labs</a>"
"Perm, Russia",http://perm.te-st.ru,58.01046,56.25017,Open Data hackathon,50-100,Teplitsa of social technologies http://te-st.ru
"Perpignan, France",https://www.facebook.com/events/681397855303031/,42.6999297,2.8945504,Open Discussion,20,"OpenPI, Open Food Facts"
"Philadelphia, PA",http://www.meetup.com/geophilly/events/219834144,39.953437,-75.19794,Speaker presentaitosn featuring talks on open source and open data for data analysis.,"100, w/ live stream","GeoPhilly, DataPhilly"
"Phnom Penh, Cambodia",https://www.facebook.com/events/854453584612339,11.52702,104.916316,Presentations/Talks/Workshop/Conference,,"Destination Justice, OKFnKH & Open Development Cambodia"
"Porto Alegre, Brasil",http://wiki.opendataday.org/PORTOALEGRE2015,-30.033056,-51.23,Hackathon using open data,~30,"MateHackers, CCDPOA"
"Porto, Portugal",http://transparenciahackday.org,41.162142,-8.621953,"Workshop, Talks",~40,Transparência Hackday Portugal
"Prague, Czech Republic",http://www.nasstat.cz/aktualni-deni/oslavte-s-nami-mezinarodni-den-otevrenych-dat/,50.098852,14.436825,Data Subotnik 1) a microhackathon focused on data problems NGOs need to solve + 2) editing Prague's Open Data Census,~25,Otakar Motejl Fund (Open Knowledge CZ)
"Prishtina, Republic of Kosovo",http://opendatakosovo.org/,42.6672617,21.1587273,"Ideathon, Datathon, Hackathon, and Macchiatos.",30,Open Data Kosovo
Provincia di Sassari,http://www.provincia.sassari.it/it/eventview.wp?contentId=EVN115925,40.7219838,8.5913335,Conferences on open data and civic monitoring for Eu fund expenditures,250,"Europe Direct Provincia di Sassari, Liceo Gramsci Olbia, Liceo Fermi Alghero, ISS Roth Alghero, Liceo Scientifico Lu Bagnu, ITCG Deffenu Olbia. "
"Puerto Rico, San Juan",http://code4puertorico.org/,18.465424,-66.117012,Unconference & Hackathon,20,Code 4 Puerto Rico Brigade
"Quito, Ecuador",http://bit.ly/ODDUio16,-0.22985,-78.52495,Open Data Festival,100,School of Data / MediaLAB Uio
"Quito, Ecuador",http://goo.gl/W3Z4g3.,-0.2228,-78.508,OpenStreetMap Ecuador: Cómo y por qué se creó el mejor Mapa Libre del Mundo.,sin limite,Comunidad de Software Libre y Seguridad informática Hackem
"Reading, PA",https://2015readingopendataday.eventbrite.com,40.341667,-75.926389,Open data policy and platform launch,~20,"City of Reading, PA"
Reggio Calabria,http://wiki.opendataday.org/ReggioCalabria15,38.6414,15.394356,Workshop and Opentalk,150,Monithon Calabria
"Richmond, Virginia",https://www.eventbrite.com/e/codeacross-rva-tickets-15303525256,37.570219,-77.468632,CodeAcross,50,Code for RVA
"Rio de Janeiro, Brazil",https://www.facebook.com/Centro-de-Refer%C3%AAncia-em-Intelig%C3%AAncia-Empresarial-Crie-1485633275000890/,-22.910439,-43.209477,ODI Rio Presentation + Ideathon,50,ODI Rio & Crie - Reference Center for Corporate Intelligence (Federal University of Rio de Janeiro)
"Sabae, Japan",http://www.city.sabae.fukui.jp/pageview.html?id=15984,35.945398,136.183004,Ideathon,,"Code For Sabae，Code For Fukui, Sabae-city"
"Saga,Japan",http://code4saga.org/,33.181783,129.880671,"Workshops,
Ideathon",30,Code for Saga
"Saitama, Japan",https://www.facebook.com/events/1417686135190359/,35.907798,139.624821,Hackathon,,Code for Saitama
"Sakai, Japan",https://www.facebook.com/events/1586873188222727/,34.558669,135.48237,Mapping,,Code for Sakai
